650	CHOICE_TRACK	4407	Porosity	RANGE	1	8	0=3%	1=6%	2=9%	3=12%	4=15%	5=18%	6=21%	7=24%	
1199.937	CHOICE_DATUM	4406	1199.937	1003											
1239.926	CHOICE_DATUM	4406	1239.926	1003											
1280.099	CHOICE_DATUM	4406	1280.099	1003											
1319.723	CHOICE_DATUM	4406	1319.723	1003											
1359.835	CHOICE_DATUM	4406	1359.835	1003											
1399.764	CHOICE_DATUM	4406	1399.764	1003											
1439.997	CHOICE_DATUM	4406	1439.997	1003											
1479.926	CHOICE_DATUM	4406	1479.926	1003											
1519.855	CHOICE_DATUM	4406	1519.855	1003											
1559.905	CHOICE_DATUM	4406	1559.905	1003											
1600.017	CHOICE_DATUM	4406	1600.017	1003											
1639.885	CHOICE_DATUM	4406	1639.885	1003											
1679.936	CHOICE_DATUM	4406	1679.936	1003											
1719.864	CHOICE_DATUM	4406	1719.864	1003											
1759.61	CHOICE_DATUM	4406	1759.61	1003											
1799.966	CHOICE_DATUM	4406	1799.966	1003											
1839.956	CHOICE_DATUM	4406	1839.956	1003											
1879.884	CHOICE_DATUM	4406	1879.884	1003											
1919.935	CHOICE_DATUM	4406	1919.935	1003											
1959.864	CHOICE_DATUM	4406	1959.864	1003											
1999.732	CHOICE_DATUM	4406	1999.732	1003											
2039.783	CHOICE_DATUM	4406	2039.783	1003											
2080.016	CHOICE_DATUM	4406	2080.016	1003											
2119.762	CHOICE_DATUM	4406	2119.762	1003											
2159.752	CHOICE_DATUM	4406	2159.752	1003											
2199.803	CHOICE_DATUM	4406	2199.803	1003											
2240.036	CHOICE_DATUM	4406	2240.036	1003											
2279.965	CHOICE_DATUM	4406	2279.965	1003											
2319.955	CHOICE_DATUM	4406	2319.955	1003											
2359.823	CHOICE_DATUM	4406	2359.823	1003											
2399.69	CHOICE_DATUM	4406	2399.69	1003											
2439.924	CHOICE_DATUM	4406	2439.924	1003											
															
650	CHOICE_TRACK	4414	Grain Size	RANGE	6	6	0=silt	1=vf	2=f	3=m	4=c	5=vc			
695	CHOICE_DATUM	4414	695	695.5	1	2	3								
695.5	CHOICE_DATUM	4414	695.5	696.5	1	2									
696.5	CHOICE_DATUM	4414	696.5	703	2										
710	CHOICE_DATUM	4414	710	710.5	1	2	3								
710.5	CHOICE_DATUM	4414	710.5	711.5	1	2									
711.5	CHOICE_DATUM	4414	711.5	718	2										
730	CHOICE_DATUM	4414	730	731	1	2	3								
731	CHOICE_DATUM	4414	731	731.5	1	2									
731.5	CHOICE_DATUM	4414	731.5	737.5	2										
745	CHOICE_DATUM	4414	745	745.5	0	1	2	3							
745.5	CHOICE_DATUM	4414	745.5	746.5	1	2									
746.5	CHOICE_DATUM	4414	746.5	752.5	2										
755	CHOICE_DATUM	4414	755	755.5	0	1	2	3							
755.5	CHOICE_DATUM	4414	755.5	756.5	1	2									
756.5	CHOICE_DATUM	4414	756.5	762.5	2										
770	CHOICE_DATUM	4414	770	770.5	1	2	3								
